each_cy,pingyin,input_index,output_index
锦上添花,"['jin', 'shang', 'tian', 'hua']",44,24
得陇望蜀,"['de', 'long', 'wang', 'shu']",23,30
沾沾自喜,"['zhan', 'zhan', 'zi', 'xi']",18,36
毛遂自荐,"['mao', 'sui', 'zi', 'jian']",9,29
外强中干,"['wai', 'qiang', 'zhong', 'gan']",12,15
井井有条,"['jing', 'jing', 'you', 'tiao']",44,1
六神无主,"['liu', 'shen', 'wu', 'zhu']",25,19
本末倒置,"['ben', 'mo', 'dao', 'zhi']",6,66
良莠不齐,"['liang', 'you', 'bu', 'qi']",17,67
水乳交融,"['shui', 'ru', 'jiao', 'rong']",22,1
夜以继日,"['ye', 'yi', 'ji', 'ri']",14,9
防微杜渐,"['fang', 'wei', 'du', 'jian']",9,29
岌岌可危,"['ji', 'ji', 'ke', 'wei']",98,44
沽名钓誉,"['gu', 'ming', 'diao', 'yu']",40,65
以讹传讹,"['yi', 'e', 'chuan', 'e']",126,12
一落千丈,"['yi', 'luo', 'qian', 'zhang']",126,5
一针见血,"['yi', 'zhen', 'jian', 'xie']",126,2
万籁俱寂,"['wan', 'lai', 'ju', 'ji']",4,62
笑容可掬,"['xiao', 'rong', 'ke', 'ju']",17,25
挥金如土,"['hui', 'jin', 'ru', 'tu']",27,11
嗤之以鼻,"['chi', 'zhi', 'yi', 'bi']",37,28
急流勇退,"['ji', 'liu', 'yong', 'tui']",98,15
赴汤蹈火,"['fu', 'tang', 'dao', 'huo']",47,17
包藏祸心,"['bao', 'cang', 'huo', 'xin']",6,81
旗鼓相当,"['qi', 'gu', 'xiang', 'dang']",63,12
乐不可支,"['le', 'bu', 'ke', 'zhi']",2,66
分道扬镳,"['fen', 'dao', 'yang', 'biao']",17,4
昙花一现,"['tan', 'hua', 'yi', 'xian']",23,13
目中无人,"['mu', 'zhong', 'wu', 'ren']",21,28
春风得意,"['chun', 'feng', 'de', 'yi']",7,263
难兄难弟,"['nan', 'xiong', 'nan', 'di']",3,15
海阔天空,"['hai', 'kuo', 'tian', 'kong']",26,14
偷天换日,"['tou', 'tian', 'huan', 'ri']",17,9
孤芳自赏,"['gu', 'fang', 'zi', 'shang']",40,10
坐以待毙,"['zuo', 'yi', 'dai', 'bi']",11,28
一举两得,"['yi', 'ju', 'liang', 'de']",126,23
守口如瓶,"['shou', 'kou', 'ru', 'ping']",32,22
自投罗网,"['zi', 'tou', 'luo', 'wang']",14,54
人面兽心,"['ren', 'mian', 'shou', 'xin']",62,81
忘恩负义,"['wang', 'en', 'fu', 'yi']",12,263
川流不息,"['chuan', 'liu', 'bu', 'xi']",15,36
天涯海角,"['tian', 'ya', 'hai', 'jiao']",39,24
九死一生,"['jiu', 'si', 'yi', 'sheng']",10,29
如数家珍,"['ru', 'shu', 'jia', 'zhen']",17,8
情不自禁,"['qing', 'bu', 'zi', 'jin']",15,39
想入非非,"['xiang', 'ru', 'fei', 'fei']",24,11
鬼鬼祟祟,"['gui', 'gui', 'sui', 'sui']",38,21
置若罔闻,"['zhi', 'ruo', 'wang', 'wen']",60,22
捕风捉影,"['bu', 'feng', 'zhuo', 'ying']",17,28
义不容辞,"['yi', 'bu', 'rong', 'ci']",126,8
异想天开,"['yi', 'xiang', 'tian', 'kai']",126,13
当仁不让,"['dang', 'ren', 'bu', 'rang']",9,0
恍然大悟,"['huang', 'ran', 'da', 'wu']",10,101
穿凿附会,"['chuan', 'zao', 'fu', 'hui']",15,22
敷衍塞责,"['fu', 'yan', 'se', 'ze']",47,3
暗箭伤人,"['an', 'jian', 'shang', 'ren']",13,28
随波逐流,"['sui', 'bo', 'zhu', 'liu']",6,21
暴跳如雷,"['bao', 'tiao', 'ru', 'lei']",6,10
优柔寡断,"['you', 'rou', 'gua', 'duan']",26,7
声色俱厉,"['sheng', 'se', 'ju', 'li']",50,55
华而不实,"['hua', 'er', 'bu', 'shi']",42,99
利令智昏,"['li', 'ling', 'zhi', 'hun']",82,12
置之度外,"['zhi', 'zhi', 'du', 'wai']",60,5
不修边幅,"['bu', 'xiu', 'bian', 'fu']",17,53
手无寸铁,"['shou', 'wu', 'cun', 'tie']",32,9
玉石俱焚,"['yu', 'shi', 'ju', 'fen']",80,24
一手遮天,"['yi', 'shou', 'zhe', 'tian']",126,32
七手八脚,"['qi', 'shou', 'ba', 'jiao']",63,24
一触即发,"['yi', 'chu', 'ji', 'fa']",126,6
心悦诚服,"['xin', 'yue', 'cheng', 'fu']",80,53
改弦易辙,"['gai', 'xian', 'yi', 'zhe']",8,6
兵连祸结,"['bing', 'lian', 'huo', 'jie']",15,44
出神入化,"['chu', 'shen', 'ru', 'hua']",23,24
居心叵测,"['ju', 'xin', 'po', 'ce']",38,0
千方百计,"['qian', 'fang', 'bai', 'ji']",17,62
一帆风顺,"['yi', 'fan', 'feng', 'shun']",126,6
大惑不解,"['da', 'huo', 'bu', 'jie']",15,44
金蝉脱壳,"['jin', 'chan', 'tuo', 'qiao']",44,14
五花八门,"['wu', 'hua', 'ba', 'men']",60,7
一贫如洗,"['yi', 'pin', 'ru', 'xi']",126,36
心安理得,"['xin', 'an', 'li', 'de']",80,23
道貌岸然,"['dao', 'mao', 'an', 'ran']",41,3
飞扬跋扈,"['fei', 'yang', 'ba', 'hu']",25,37
苦口婆心,"['ku', 'kou', 'po', 'xin']",10,81
比比皆是,"['bi', 'bi', 'jie', 'shi']",34,99
颠沛流离,"['dian', 'pei', 'liu', 'li']",7,55
雷厉风行,"['lei', 'li', 'feng', 'xing']",8,27
十拿九稳,"['shi', 'na', 'jiu', 'wen']",144,22
寡廉鲜耻,"['gua', 'lian', 'xian', 'chi']",4,13
模棱两可,"['mo', 'leng', 'liang', 'ke']",32,11
充耳不闻,"['chong', 'er', 'bu', 'wen']",4,22
蠢蠢欲动,"['chun', 'chun', 'yu', 'dong']",7,31
听天由命,"['ting', 'tian', 'you', 'ming']",12,40
大腹便便,"['da', 'fu', 'pian', 'pian']",15,1
声名狼藉,"['sheng', 'ming', 'lang', 'ji']",50,62
探囊取物,"['tan', 'nang', 'qu', 'wu']",23,101
处心积虑,"['chu', 'xin', 'ji', 'lv']",23,4
呆若木鸡,"['dai', 'ruo', 'mu', 'ji']",19,62
以邻为壑,"['yi', 'lin', 'wei', 'he']",126,13
言简意赅,"['yan', 'jian', 'yi', 'gai']",41,13
积重难返,"['ji', 'zhong', 'nan', 'fan']",98,30
标新立异,"['biao', 'xin', 'li', 'yi']",6,263
来龙去脉,"['lai', 'long', 'qu', 'mai']",20,2
栉风沐雨,"['zhi', 'feng', 'mu', 'yu']",60,65
所向披靡,"['suo', 'xiang', 'pi', 'mi']",15,8
海底捞针,"['hai', 'di', 'lao', 'zhen']",26,8
栩栩如生,"['xu', 'xu', 'ru', 'sheng']",12,29
恶贯满盈,"['e', 'guan', 'man', 'ying']",7,28
朝秦暮楚,"['zhao', 'qin', 'mu', 'chu']",10,44
斩草除根,"['zhan', 'cao', 'chu', 'gen']",18,3
喜出望外,"['xi', 'chu', 'wang', 'wai']",32,5
花言巧语,"['hua', 'yan', 'qiao', 'yu']",42,65
垂头丧气,"['chui', 'tou', 'sang', 'qi']",0,67
流连忘返,"['liu', 'lian', 'wang', 'fan']",25,30
随机应变,"['sui', 'ji', 'ying', 'bian']",6,16
分庭抗礼,"['fen', 'ting', 'kang', 'li']",17,55
应接不暇,"['ying', 'jie', 'bu', 'xia']",34,7
鞠躬尽瘁,"['ju', 'gong', 'jin', 'cui']",38,3
爱莫能助,"['ai', 'mo', 'neng', 'zhu']",8,19
洗耳恭听,"['xi', 'er', 'gong', 'ting']",32,9
不胜枚举,"['bu', 'sheng', 'mei', 'ju']",17,25
不知所措,"['bu', 'zhi', 'suo', 'cuo']",17,2
美不胜收,"['mei', 'bu', 'sheng', 'shou']",16,33
绝无仅有,"['jue', 'wu', 'jin', 'you']",16,43
另眼相看,"['ling', 'yan', 'xiang', 'kan']",17,8
隔岸观火,"['ge', 'an', 'guan', 'huo']",13,17
雷霆万钧,"['lei', 'ting', 'wan', 'jun']",8,3
巧夺天工,"['qiao', 'duo', 'tian', 'gong']",7,13
万紫千红,"['wan', 'zi', 'qian', 'hong']",4,5
当机立断,"['dang', 'ji', 'li', 'duan']",9,7
绰绰有余,"['chuo', 'chuo', 'you', 'yu']",0,65
放荡不羁,"['fang', 'dang', 'bu', 'ji']",9,62
漫不经心,"['man', 'bu', 'jing', 'xin']",5,81
咎由自取,"['jiu', 'you', 'zi', 'qu']",10,14
醉生梦死,"['zui', 'sheng', 'meng', 'si']",11,32
豁然贯通,"['huo', 'ran', 'guan', 'tong']",32,35
夙兴夜寐,"['su', 'xing', 'ye', 'mei']",12,19
钩心斗角,"['gou', 'xin', 'dou', 'jiao']",7,24
颠扑不破,"['dian', 'pu', 'bu', 'po']",7,11
声泪俱下,"['sheng', 'lei', 'ju', 'xia']",50,7
老奸巨猾,"['lao', 'jian', 'ju', 'hua']",17,24
汗马功劳,"['han', 'ma', 'gong', 'lao']",7,25
千载一时,"['qian', 'zai', 'yi', 'shi']",17,99
光明磊落,"['guang', 'ming', 'lei', 'luo']",2,12
同病相怜,"['tong', 'bing', 'xiang', 'lian']",29,13
生龙活虎,"['sheng', 'long', 'huo', 'hu']",50,37
同床异梦,"['tong', 'chuang', 'yi', 'meng']",29,8
出其不意,"['chu', 'qi', 'bu', 'yi']",23,263
不知所云,"['bu', 'zhi', 'suo', 'yun']",17,3
不言而喻,"['bu', 'yan', 'er', 'yu']",17,65
不苟言笑,"['bu', 'gou', 'yan', 'xiao']",17,23
大惊小怪,"['da', 'jing', 'xiao', 'guai']",15,1
手足无措,"['shou', 'zu', 'wu', 'cuo']",32,2
屈指可数,"['qu', 'zhi', 'ke', 'shu']",20,30
眉飞色舞,"['mei', 'fei', 'se', 'wu']",16,101
洗心革面,"['xi', 'xin', 'ge', 'mian']",32,14
飞黄腾达,"['fei', 'huang', 'teng', 'da']",25,37
纸醉金迷,"['zhi', 'zui', 'jin', 'mi']",60,8
乌合之众,"['wu', 'he', 'zhi', 'zhong']",60,33
逆来顺受,"['ni', 'lai', 'shun', 'shou']",4,33
哑口无言,"['ya', 'kou', 'wu', 'yan']",7,55
等量齐观,"['deng', 'liang', 'qi', 'guan']",4,11
荒谬绝伦,"['huang', 'miu', 'jue', 'lun']",10,2
深恶痛绝,"['shen', 'wu', 'tong', 'jue']",24,11
殊途同归,"['shu', 'tu', 'tong', 'gui']",31,8
千变万化,"['qian', 'bian', 'wan', 'hua']",17,24
得不偿失,"['de', 'bu', 'chang', 'shi']",23,99
冥顽不灵,"['ming', 'wan', 'bu', 'ling']",29,16
望洋兴叹,"['wang', 'yang', 'xing', 'tan']",12,15
娇生惯养,"['jiao', 'sheng', 'guan', 'yang']",32,20
养精蓄锐,"['yang', 'jing', 'xu', 'rui']",28,2
阳奉阴违,"['yang', 'feng', 'yin', 'wei']",28,44
怀才不遇,"['huai', 'cai', 'bu', 'yu']",8,65
连篇累牍,"['lian', 'pian', 'lei', 'du']",12,11
并驾齐驱,"['bing', 'jia', 'qi', 'qu']",15,14
起死回生,"['qi', 'si', 'hui', 'sheng']",63,29
大名鼎鼎,"['da', 'ming', 'ding', 'ding']",15,1
大智若愚,"['da', 'zhi', 'ruo', 'yu']",15,65
锦囊妙计,"['jin', 'nang', 'miao', 'ji']",44,62
一目了然,"['yi', 'mu', 'liao', 'ran']",126,3
五光十色,"['wu', 'guang', 'shi', 'se']",60,3
年高德劭,"['nian', 'gao', 'de', 'shao']",6,7
快马加鞭,"['kuai', 'ma', 'jia', 'bian']",4,16
志同道合,"['zhi', 'tong', 'dao', 'he']",60,13
冷言冷语,"['leng', 'yan', 'leng', 'yu']",0,65
流言蜚语,"['liu', 'yan', 'fei', 'yu']",25,65
杀人越货,"['sha', 'ren', 'yue', 'huo']",3,17
锐不可当,"['rui', 'bu', 'ke', 'dang']",4,12
锱铢必较,"['zi', 'zhu', 'bi', 'jiao']",14,24
苦心孤诣,"['ku', 'xin', 'gu', 'yi']",10,263
刻骨铭心,"['ke', 'gu', 'ming', 'xin']",24,81
深谋远虑,"['shen', 'mou', 'yuan', 'lv']",24,4
魂不附体,"['hun', 'bu', 'fu', 'ti']",5,10
入不敷出,"['ru', 'bu', 'fu', 'chu']",17,44
十全十美,"['shi', 'quan', 'shi', 'mei']",144,19
人山人海,"['ren', 'shan', 'ren', 'hai']",62,22
无微不至,"['wu', 'wei', 'bu', 'zhi']",60,66
不遗余力,"['bu', 'yi', 'yu', 'li']",17,55
心平气和,"['xin', 'ping', 'qi', 'he']",80,13
心血来潮,"['xin', 'xue', 'lai', 'chao']",80,6
随遇而安,"['sui', 'yu', 'er', 'an']",6,33
神通广大,"['shen', 'tong', 'guang', 'da']",24,37
孤苦伶仃,"['gu', 'ku', 'ling', 'ding']",40,1
名不副实,"['ming', 'bu', 'fu', 'shi']",29,99
尔虞我诈,"['er', 'yu', 'wo', 'zha']",20,0
义正辞严,"['yi', 'zheng', 'ci', 'yan']",126,55
改邪归正,"['gai', 'xie', 'gui', 'zheng']",8,12
顾此失彼,"['gu', 'ci', 'shi', 'bi']",40,28
言听计从,"['yan', 'ting', 'ji', 'cong']",41,10
困兽犹斗,"['kun', 'shou', 'you', 'dou']",0,2
迥然不同,"['jiong', 'ran', 'bu', 'tong']",0,35
如出一辙,"['ru', 'chu', 'yi', 'zhe']",17,6
欢天喜地,"['huan', 'tian', 'xi', 'di']",14,15
循规蹈矩,"['xun', 'gui', 'dao', 'ju']",4,25
唯唯诺诺,"['wei', 'wei', 'nuo', 'nuo']",51,0
孑然一身,"['jie', 'ran', 'yi', 'shen']",52,46
气壮山河,"['qi', 'zhuang', 'shan', 'he']",63,13
