each_cy,pingyin,input_index,output_index
光天化日,"['guang', 'tian', 'hua', 'ri']",2,9
每况愈下,"['mei', 'kuang', 'yu', 'xia']",16,7
钟鸣鼎食,"['zhong', 'ming', 'ding', 'shi']",45,99
铁石心肠,"['tie', 'shi', 'xin', 'chang']",5,11
安身立命,"['an', 'shen', 'li', 'ming']",13,40
安然无恙,"['an', 'ran', 'wu', 'yang']",13,20
庐山真面目,"['lu', 'shan', 'zhen', 'mian', 'mu']",31,36
深思熟虑,"['shen', 'si', 'shu', 'lv']",24,4
平分秋色,"['ping', 'fen', 'qiu', 'se']",8,3
跃跃欲试,"['yue', 'yue', 'yu', 'shi']",16,99
自强不息,"['zi', 'qiang', 'bu', 'xi']",14,36
掩人耳目,"['yan', 'ren', 'er', 'mu']",41,36
耳熟能详,"['er', 'shu', 'neng', 'xiang']",20,24
自食其力,"['zi', 'shi', 'qi', 'li']",14,55
老骥伏枥,"['lao', 'ji', 'fu', 'li']",17,55
行云流水,"['xing', 'yun', 'liu', 'shui']",26,28
安分守己,"['an', 'fen', 'shou', 'ji']",13,62
瞠目结舌,"['cheng', 'mu', 'jie', 'she']",35,14
临深履薄,"['lin', 'shen', 'lv', 'bo']",3,9
忍无可忍,"['ren', 'wu', 'ke', 'ren']",62,28
捷足先登,"['jie', 'zu', 'xian', 'deng']",52,4
李代桃僵,"['li', 'dai', 'tao', 'jiang']",82,12
隐姓埋名,"['yin', 'xing', 'mai', 'ming']",12,40
辗转反侧,"['zhan', 'zhuan', 'fan', 'ce']",18,0
冷嘲热讽,"['leng', 'chao', 're', 'feng']",0,52
张口结舌,"['zhang', 'kou', 'jie', 'she']",40,14
安如泰山,"['an', 'ru', 'tai', 'shan']",13,12
百闻不如一见,"['bai', 'wen', 'bu', 'ru', 'yi', 'jian']",3,29
魂飞魄散,"['hun', 'fei', 'po', 'san']",5,35
细水长流,"['xi', 'shui', 'chang', 'liu']",32,21
养尊处优,"['yang', 'zun', 'chu', 'you']",28,43
难能可贵,"['nan', 'neng', 'ke', 'gui']",3,8
脱胎换骨,"['tuo', 'tai', 'huan', 'gu']",1,44
奋不顾身,"['fen', 'bu', 'gu', 'shen']",17,46
身败名裂,"['shen', 'bai', 'ming', 'lie']",24,3
潜移默化,"['qian', 'yi', 'mo', 'hua']",17,24
捷足先得,"['jie', 'zu', 'xian', 'de']",52,23
轻而易举,"['qing', 'er', 'yi', 'ju']",15,25
漠不关心,"['mo', 'bu', 'guan', 'xin']",32,81
笑逐颜开,"['xiao', 'zhu', 'yan', 'kai']",17,13
牛衣对泣,"['niu', 'yi', 'dui', 'qi']",5,67
舞文弄墨,"['wu', 'wen', 'nong', 'mo']",60,38
披肝沥胆,"['pi', 'gan', 'li', 'dan']",6,23
事与愿违,"['shi', 'yu', 'yuan', 'wei']",144,44
畅所欲言,"['chang', 'suo', 'yu', 'yan']",21,55
目不见睫,"['mu', 'bu', 'jian', 'jie']",21,44
两面三刀,"['liang', 'mian', 'san', 'dao']",17,23
抛头露面,"['pao', 'tou', 'lu', 'mian']",2,14
雨后春笋,"['yu', 'hou', 'chun', 'sun']",80,4
尽忠报国,"['jin', 'zhong', 'bao', 'guo']",44,15
金城汤池,"['jin', 'cheng', 'tang', 'chi']",44,13
戮力同心,"['lu', 'li', 'tong', 'xin']",31,81
枉费心机,"['wang', 'fei', 'xin', 'ji']",12,62
轻车熟路,"['qing', 'che', 'shu', 'lu']",15,21
以毒攻毒,"['yi', 'du', 'gong', 'du']",126,11
目无全牛,"['mu', 'wu', 'quan', 'niu']",21,4
金戈铁马,"['jin', 'ge', 'tie', 'ma']",44,13
近水楼台,"['jin', 'shui', 'lou', 'tai']",44,6
四分五裂,"['si', 'fen', 'wu', 'lie']",28,3
寿比南山,"['shou', 'bi', 'nan', 'shan']",32,12
美中不足,"['mei', 'zhong', 'bu', 'zu']",16,6
枯木逢春,"['ku', 'mu', 'feng', 'chun']",10,11
腹背受敌,"['fu', 'bei', 'shou', 'di']",47,15
过犹不及,"['guo', 'you', 'bu', 'ji']",7,62
咬牙切齿,"['yao', 'ya', 'qie', 'chi']",18,13
威风凛凛,"['wei', 'feng', 'lin', 'lin']",51,19
身无长物,"['shen', 'wu', 'chang', 'wu']",24,101
装模作样,"['zhuang', 'mu', 'zuo', 'yang']",11,20
装腔作势,"['zhuang', 'qiang', 'zuo', 'shi']",11,99
愁眉苦脸,"['chou', 'mei', 'ku', 'lian']",7,13
枵腹从公,"['xiao', 'fu', 'cong', 'gong']",17,13
入室操戈,"['ru', 'shi', 'cao', 'ge']",17,20
趁火打劫,"['chen', 'huo', 'da', 'jie']",8,44
势均力敌,"['shi', 'jun', 'li', 'di']",144,15
相知恨晚,"['xiang', 'zhi', 'hen', 'wan']",24,37
贻笑大方,"['yi', 'xiao', 'da', 'fang']",126,22
无能为力,"['wu', 'neng', 'wei', 'li']",60,55
方寸已乱,"['fang', 'cun', 'yi', 'luan']",9,5
杀人如麻,"['sha', 'ren', 'ru', 'ma']",3,13
鱼游釜中,"['yu', 'you', 'fu', 'zhong']",80,33
一发千钧,"['yi', 'fa', 'qian', 'jun']",126,3
风平浪静,"['feng', 'ping', 'lang', 'jing']",45,48
子虚乌有,"['zi', 'xu', 'wu', 'you']",14,43
通宵达旦,"['tong', 'xiao', 'da', 'dan']",29,23
气急败坏,"['qi', 'ji', 'bai', 'huai']",63,3
雪上加霜,"['xue', 'shang', 'jia', 'shuang']",11,3
尸位素餐,"['shi', 'wei', 'su', 'can']",144,4
循序渐进,"['xun', 'xu', 'jian', 'jin']",4,39
野心勃勃,"['ye', 'xin', 'bo', 'bo']",14,9
无法无天,"['wu', 'fa', 'wu', 'tian']",60,32
人言可畏,"['ren', 'yan', 'ke', 'wei']",62,44
好高骛远,"['hao', 'gao', 'wu', 'yuan']",10,19
孺子可教,"['ru', 'zi', 'ke', 'jiao']",17,24
将信将疑,"['jiang', 'xin', 'jiang', 'yi']",6,263
一傅众咻,"['yi', 'fu', 'zhong', 'xiu']",126,14
微乎其微,"['wei', 'hu', 'qi', 'wei']",51,44
蓬头垢面,"['peng', 'tou', 'gou', 'mian']",3,14
草草了事,"['cao', 'cao', 'liao', 'shi']",11,99
洞天福地,"['dong', 'tian', 'fu', 'di']",11,15
扬长而去,"['yang', 'chang', 'er', 'qu']",28,14
不辨菽麦,"['bu', 'bian', 'shu', 'mai']",17,2
得鱼忘筌,"['de', 'yu', 'wang', 'quan']",23,4
纲举目张,"['gang', 'ju', 'mu', 'zhang']",4,5
鹬蚌相争,"['yu', 'bang', 'xiang', 'zheng']",80,12
铸成大错,"['zhu', 'cheng', 'da', 'cuo']",38,2
了如指掌,"['liao', 'ru', 'zhi', 'zhang']",4,5
与虎谋皮,"['yu', 'hu', 'mou', 'pi']",80,23
寻章摘句,"['xun', 'zhang', 'zhai', 'ju']",4,25
坚壁清野,"['jian', 'bi', 'qing', 'ye']",40,13
应声虫,"['ying', 'sheng', 'chong']",34,9
曾参杀人,"['zeng', 'shen', 'sha', 'ren']",0,28
倒屣相迎,"['dao', 'xi', 'xiang', 'ying']",41,28
堂堂正正,"['tang', 'tang', 'zheng', 'zheng']",3,12
尽善尽美,"['jin', 'shan', 'jin', 'mei']",44,19
一木难支,"['yi', 'mu', 'nan', 'zhi']",126,66
众望所归,"['zhong', 'wang', 'suo', 'gui']",45,8
肃然起敬,"['su', 'ran', 'qi', 'jing']",12,48
鸿鹄之志,"['hong', 'gu', 'zhi', 'zhi']",2,66
坦腹东床,"['tan', 'fu', 'dong', 'chuang']",23,0
鸟尽弓藏,"['niao', 'jin', 'gong', 'cang']",4,7
揭竿而起,"['jie', 'gan', 'er', 'qi']",52,67
逼上梁山,"['bi', 'shang', 'liang', 'shan']",34,12
老羞成怒,"['lao', 'xiu', 'cheng', 'nu']",17,3
下里巴人,"['xia', 'li', 'ba', 'ren']",30,28
半信半疑,"['ban', 'xin', 'ban', 'yi']",8,263
不谋而合,"['bu', 'mou', 'er', 'he']",17,13
反复无常,"['fan', 'fu', 'wu', 'chang']",30,11
方枘圆凿,"['fang', 'rui', 'yuan', 'zao']",9,4
秋风过耳,"['qiu', 'feng', 'guo', 'er']",23,15
气象万千,"['qi', 'xiang', 'wan', 'qian']",63,64
哀鸿遍野,"['ai', 'hong', 'bian', 'ye']",8,13
大海捞针,"['da', 'hai', 'lao', 'zhen']",15,8
师心自用,"['shi', 'xin', 'zi', 'yong']",144,7
箪食壶浆,"['dan', 'si', 'hu', 'jiang']",33,12
骇人听闻,"['hai', 'ren', 'ting', 'wen']",26,22
燕雀处堂,"['yan', 'que', 'chu', 'tang']",41,10
结草衔环,"['jie', 'cao', 'xian', 'huan']",52,19
疾风劲草,"['ji', 'feng', 'jing', 'cao']",98,6
偃武修文,"['yan', 'wu', 'xiu', 'wen']",41,22
金迷纸醉,"['jin', 'mi', 'zhi', 'zui']",44,10
甚嚣尘上,"['shen', 'xiao', 'chen', 'shang']",24,10
捉襟见肘,"['zhuo', 'jin', 'jian', 'zhou']",5,1
超群绝伦,"['chao', 'qun', 'jue', 'lun']",1,2
良药苦口,"['liang', 'yao', 'ku', 'kou']",17,17
忘年之交,"['wang', 'nian', 'zhi', 'jiao']",12,24
自出机杼,"['zi', 'chu', 'ji', 'zhu']",14,19
防患未然,"['fang', 'huan', 'wei', 'ran']",9,3
敌忾同仇,"['di', 'kai', 'tong', 'chou']",63,12
网开一面,"['wang', 'kai', 'yi', 'mian']",12,14
相濡以沫,"['xiang', 'ru', 'yi', 'mo']",24,38
何足挂齿,"['he', 'zu', 'gua', 'chi']",57,13
刮目相待,"['gua', 'mu', 'xiang', 'dai']",4,12
老妪能解,"['lao', 'yu', 'neng', 'jie']",17,44
木人石心,"['mu', 'ren', 'shi', 'xin']",21,81
坐怀不乱,"['zuo', 'huai', 'bu', 'luan']",11,5
十行俱下,"['shi', 'hang', 'ju', 'xia']",144,7
朝令夕改,"['zhao', 'ling', 'xi', 'gai']",10,13
痛饮黄龙,"['tong', 'yin', 'huang', 'long']",29,7
欲罢不能,"['yu', 'ba', 'bu', 'neng']",80,0
破天荒,"['po', 'tian', 'huang']",14,11
与狐谋皮,"['yu', 'hu', 'mou', 'pi']",80,23
教学相长,"['jiao', 'xue', 'xiang', 'zhang']",32,5
向壁虚造,"['xiang', 'bi', 'xu', 'zao']",24,4
酒池肉林,"['jiu', 'chi', 'rou', 'lin']",10,19
心手相应,"['xin', 'shou', 'xiang', 'ying']",80,28
敝帚千金,"['bi', 'zhou', 'qian', 'jin']",34,39
比肩继踵,"['bi', 'jian', 'ji', 'zhong']",34,33
道不拾遗,"['dao', 'bu', 'shi', 'yi']",41,263
胆战心惊,"['dan', 'zhan', 'xin', 'jing']",33,48
势成骑虎,"['shi', 'cheng', 'qi', 'hu']",144,37
反唇相稽,"['fan', 'chun', 'xiang', 'ji']",30,62
百战百胜,"['bai', 'zhan', 'bai', 'sheng']",3,29
蓝田生玉,"['lan', 'tian', 'sheng', 'yu']",9,65
剖腹藏珠,"['pou', 'fu', 'cang', 'zhu']",1,19
以卵投石,"['yi', 'luan', 'tou', 'shi']",126,99
疾风知劲草,"['ji', 'feng', 'zhi', 'jing', 'cao']",98,6
鲁鱼亥豕,"['lu', 'yu', 'hai', 'shi']",31,99
一箭双雕,"['yi', 'jian', 'shuang', 'diao']",126,12
惨绿少年,"['can', 'lv', 'shao', 'nian']",6,3
殷鉴不远,"['yin', 'jian', 'bu', 'yuan']",12,19
秦镜高悬,"['qin', 'jing', 'gao', 'xuan']",13,11
网漏吞舟,"['wang', 'lou', 'tun', 'zhou']",12,1
山盟海誓,"['shan', 'meng', 'hai', 'shi']",25,99
口中雌黄,"['kou', 'zhong', 'ci', 'huang']",15,11
摩肩接踵,"['mo', 'jian', 'jie', 'zhong']",32,33
以管窥天,"['yi', 'guan', 'kui', 'tian']",126,32
叶落知秋,"['ye', 'luo', 'zhi', 'qiu']",14,13
衔环结草,"['xian', 'huan', 'jie', 'cao']",10,6
野人献曝,"['ye', 'ren', 'xian', 'pu']",14,4
梦笔生花,"['meng', 'bi', 'sheng', 'hua']",19,24
喜逐颜开,"['xi', 'zhu', 'yan', 'kai']",32,13
戴月披星,"['dai', 'yue', 'pi', 'xing']",19,27
以卵击石,"['yi', 'luan', 'ji', 'shi']",126,99
天香国色,"['tian', 'xiang', 'guo', 'se']",39,3
户限为穿,"['hu', 'xian', 'wei', 'chuan']",18,7
白头偕老,"['bai', 'tou', 'xie', 'lao']",3,25
网开三面,"['wang', 'kai', 'san', 'mian']",12,14
器宇轩昂,"['qi', 'yu', 'xuan', 'ang']",63,0
沉鱼落雁,"['chen', 'yu', 'luo', 'yan']",8,55
知彼知己,"['zhi', 'bi', 'zhi', 'ji']",60,62
伤弓之鸟,"['shang', 'gong', 'zhi', 'niao']",16,1
耳边风,"['er', 'bian', 'feng']",20,52
知己知彼,"['zhi', 'ji', 'zhi', 'bi']",60,28
神工鬼斧,"['shen', 'gong', 'gui', 'fu']",24,53
春风满面,"['chun', 'feng', 'man', 'mian']",7,14
露出马脚,"['lu', 'chu', 'ma', 'jiao']",31,24
屋下架屋,"['wu', 'xia', 'jia', 'wu']",60,101
卷土重来,"['juan', 'tu', 'chong', 'lai']",7,3
负薪救火,"['fu', 'xin', 'jiu', 'huo']",47,17
背水一战,"['bei', 'shui', 'yi', 'zhan']",26,10
秣马厉兵,"['mo', 'ma', 'li', 'bing']",32,23
山木自寇,"['shan', 'mu', 'zi', 'kou']",25,17
倾城倾国,"['qing', 'cheng', 'qing', 'guo']",15,15
食玉炊桂,"['shi', 'yu', 'chui', 'gui']",144,8
尺幅千里,"['chi', 'fu', 'qian', 'li']",37,55
东道主人,"['dong', 'dao', 'zhu', 'ren']",11,28
长风破浪,"['chang', 'feng', 'po', 'lang']",21,7
问柳寻花,"['wen', 'liu', 'xun', 'hua']",30,24
舍本逐末,"['she', 'ben', 'zhu', 'mo']",23,38
异路同归,"['yi', 'lu', 'tong', 'gui']",126,8
依样葫芦,"['yi', 'yang', 'hu', 'lu']",126,21
见笑大方,"['jian', 'xiao', 'da', 'fang']",40,22
稠人广众,"['chou', 'ren', 'guang', 'zhong']",7,33
万死一生,"['wan', 'si', 'yi', 'sheng']",4,29
叹为观止,"['tan', 'wei', 'guan', 'zhi']",23,66
独出心裁,"['du', 'chu', 'xin', 'cai']",15,7
临机应变,"['lin', 'ji', 'ying', 'bian']",3,16
行尸走肉,"['xing', 'shi', 'zou', 'rou']",26,6
窥豹一斑,"['kui', 'bao', 'yi', 'ban']",13,16
负重致远,"['fu', 'zhong', 'zhi', 'yuan']",47,19
行尸走肉,"['xing', 'shi', 'zou', 'rou']",26,6
登徒子,"['deng', 'tu', 'zi']",4,35
明珠暗投,"['ming', 'zhu', 'an', 'tou']",29,20
黔驴之技,"['qian', 'lv', 'zhi', 'ji']",17,62
休戚与共,"['xiu', 'qi', 'yu', 'gong']",21,13
气息奄奄,"['qi', 'xi', 'yan', 'yan']",63,55
助纣为虐,"['zhu', 'zhou', 'wei', 'nve']",38,0
杀鸡焉用牛刀,"['sha', 'ji', 'yan', 'yong', 'niu', 'dao']",3,23
学步邯郸,"['xue', 'bu', 'han', 'dan']",11,23
以蠡测海,"['yi', 'li', 'ce', 'hai']",126,22
直捣黄龙,"['zhi', 'dao', 'huang', 'long']",60,7
仆仆风尘,"['pu', 'pu', 'feng', 'chen']",5,10
不识一丁,"['bu', 'shi', 'yi', 'ding']",17,1
一息奄奄,"['yi', 'xi', 'yan', 'yan']",126,55
地角天涯,"['di', 'jiao', 'tian', 'ya']",63,6
同工异曲,"['tong', 'gong', 'yi', 'qu']",29,14
有条有理,"['you', 'tiao', 'you', 'li']",26,55
至公无私,"['zhi', 'gong', 'wu', 'si']",60,32
傍人门户,"['bang', 'ren', 'men', 'hu']",4,37
决一雌雄,"['jue', 'yi', 'ci', 'xiong']",16,5
防意如城,"['fang', 'yi', 'ru', 'cheng']",9,17
抽薪止沸,"['chou', 'xin', 'zhi', 'fei']",7,11
家徒壁立,"['jia', 'tu', 'bi', 'li']",11,55
东床坦腹,"['dong', 'chuang', 'tan', 'fu']",11,53
略识之无,"['lve', 'shi', 'zhi', 'wu']",1,101
舍生取义,"['she', 'sheng', 'qu', 'yi']",23,263
狐死兔泣,"['hu', 'si', 'tu', 'qi']",18,67
革面洗心,"['ge', 'mian', 'xi', 'xin']",13,81
芙蓉出水,"['fu', 'rong', 'chu', 'shui']",47,28
海角天涯,"['hai', 'jiao', 'tian', 'ya']",26,6
疑信参半,"['yi', 'xin', 'can', 'ban']",126,16
无翼而飞,"['wu', 'yi', 'er', 'fei']",60,11
背井离乡,"['bei', 'jing', 'li', 'xiang']",26,24
反求诸己,"['fan', 'qiu', 'zhu', 'ji']",30,62
家无长物,"['jia', 'wu', 'chang', 'wu']",11,101
一无所知,"['yi', 'wu', 'suo', 'zhi']",126,66
雕虫篆刻,"['diao', 'chong', 'zhuan', 'ke']",11,11
如风过耳,"['ru', 'feng', 'guo', 'er']",17,15
逆耳之言,"['ni', 'er', 'zhi', 'yan']",4,55
梦寐以求,"['meng', 'mei', 'yi', 'qiu']",19,13
玩火自焚,"['wan', 'huo', 'zi', 'fen']",4,24
百折不回,"['bai', 'zhe', 'bu', 'hui']",3,22
安枕而卧,"['an', 'zhen', 'er', 'wo']",13,8
喜笑颜开,"['xi', 'xiao', 'yan', 'kai']",32,13
痛快淋漓,"['tong', 'kuai', 'lin', 'li']",29,55
别出机杼,"['bie', 'chu', 'ji', 'zhu']",0,19
黄钟毁弃,"['huang', 'zhong', 'hui', 'qi']",10,67
口尚乳臭,"['kou', 'shang', 'ru', 'xiu']",15,14
黄雀伺蝉,"['huang', 'que', 'si', 'chan']",10,1
不值一钱,"['bu', 'zhi', 'yi', 'qian']",17,64
八斗之才,"['ba', 'dou', 'zhi', 'cai']",4,7
天涯地角,"['tian', 'ya', 'di', 'jiao']",39,24
心回意转,"['xin', 'hui', 'yi', 'zhuan']",80,6
扞格不入,"['han', 'ge', 'bu', 'ru']",7,47
见景生情,"['jian', 'jing', 'sheng', 'qing']",40,42
沐雨栉风,"['mu', 'yu', 'zhi', 'feng']",21,52
随时制宜,"['sui', 'shi', 'zhi', 'yi']",6,263
移天易日,"['yi', 'tian', 'yi', 'ri']",126,9
零丁孤苦,"['ling', 'ding', 'gu', 'ku']",17,10
惜玉怜香,"['xi', 'yu', 'lian', 'xiang']",32,24
朝令暮改,"['zhao', 'ling', 'mu', 'gai']",10,13
疾言遽色,"['ji', 'yan', 'ju', 'se']",98,3
饭坑酒囊,"['fan', 'keng', 'jiu', 'nang']",30,5
恨相知晚,"['hen', 'xiang', 'zhi', 'wan']",0,37
跬步不离,"['kui', 'bu', 'bu', 'li']",13,55
拿班做势,"['na', 'ban', 'zuo', 'shi']",2,99
画饼充饥,"['hua', 'bing', 'chong', 'ji']",42,62
捉衿见肘,"['zhuo', 'jin', 'jian', 'zhou']",5,1
心如铁石,"['xin', 'ru', 'tie', 'shi']",80,99
东道主,"['dong', 'dao', 'zhu']",11,19
乐而忘返,"['le', 'er', 'wang', 'fan']",2,30
稳如泰山,"['wen', 'ru', 'tai', 'shan']",30,12
道听途说,"['dao', 'ting', 'tu', 'shuo']",41,4
圆凿方枘,"['yuan', 'zao', 'fang', 'rui']",33,2
吞声忍气,"['tun', 'sheng', 'ren', 'qi']",2,67
从心所欲,"['cong', 'xin', 'suo', 'yu']",9,65
望洋兴叹,"['wang', 'yang', 'xing', 'tan']",12,15
折冲尊俎,"['zhe', 'chong', 'zun', 'zu']",14,6
夺胎换骨,"['duo', 'tai', 'huan', 'gu']",12,44
千金一掷,"['qian', 'jin', 'yi', 'zhi']",17,66
井蛙之见,"['jing', 'wa', 'zhi', 'jian']",44,29
九流三教,"['jiu', 'liu', 'san', 'jiao']",10,24
井然有序,"['jing', 'ran', 'you', 'xu']",44,11
凌云壮志,"['ling', 'yun', 'zhuang', 'zhi']",17,66
名实相副,"['ming', 'shi', 'xiang', 'fu']",29,53
肩摩踵接,"['jian', 'mo', 'zhong', 'jie']",40,44
北辕适楚,"['bei', 'yuan', 'shi', 'chu']",26,44
辞严义正,"['ci', 'yan', 'yi', 'zheng']",14,12
铭心镂骨,"['ming', 'xin', 'lou', 'gu']",29,44
悬河泻水,"['xuan', 'he', 'xie', 'shui']",4,28
伶仃孤苦,"['ling', 'ding', 'gu', 'ku']",17,10
同流合污,"['tong', 'liu', 'he', 'wu']",29,101
势不可当,"['shi', 'bu', 'ke', 'dang']",144,12
心怀叵测,"['xin', 'huai', 'po', 'ce']",80,0
千金一诺,"['qian', 'jin', 'yi', 'nuo']",17,0
虎皮羊质,"['hu', 'pi', 'yang', 'zhi']",18,66
一长两短,"['yi', 'chang', 'liang', 'duan']",126,7
羞花闭月,"['xiu', 'hua', 'bi', 'yue']",21,11
末路穷途,"['mo', 'lu', 'qiong', 'tu']",32,11
脱口成章,"['tuo', 'kou', 'cheng', 'zhang']",1,5
交臂失之,"['jiao', 'bi', 'shi', 'zhi']",32,66
吐丝自缚,"['tu', 'si', 'zi', 'fu']",18,53
同归殊途,"['tong', 'gui', 'shu', 'tu']",29,11
安家乐业,"['an', 'jia', 'le', 'ye']",13,13
按步就班,"['an', 'bu', 'jiu', 'ban']",13,16
疾足先得,"['ji', 'zu', 'xian', 'de']",98,23
足音跫然,"['zu', 'yin', 'qiong', 'ran']",22,3
众寡不敌,"['zhong', 'gua', 'bu', 'di']",45,15
多歧亡羊,"['duo', 'qi', 'wang', 'yang']",12,20
神差鬼使,"['shen', 'chai', 'gui', 'shi']",24,99
流水高山,"['liu', 'shui', 'gao', 'shan']",25,12
无妄之祸,"['wu', 'wang', 'zhi', 'huo']",60,17
同心戮力,"['tong', 'xin', 'lu', 'li']",29,55
顿开茅塞,"['dun', 'kai', 'mao', 'se']",2,3
破竹之势,"['po', 'zhu', 'zhi', 'shi']",14,99
舞文弄法,"['wu', 'wen', 'nong', 'fa']",60,6
肠肥脑满,"['chang', 'fei', 'nao', 'man']",21,8
游刃有余,"['you', 'ren', 'you', 'yu']",26,65
沥胆披肝,"['li', 'dan', 'pi', 'gan']",82,15
应机立断,"['ying', 'ji', 'li', 'duan']",34,7
庐山真面,"['lu', 'shan', 'zhen', 'mian']",31,14
槃根错节,"['pan', 'gen', 'cuo', 'jie']",7,44
别无长物,"['bie', 'wu', 'chang', 'wu']",0,101
邻国为壑,"['lin', 'guo', 'wei', 'he']",3,13
千绪万端,"['qian', 'xu', 'wan', 'duan']",17,7
毋望之祸,"['wu', 'wang', 'zhi', 'huo']",60,17
滴水穿石,"['di', 'shui', 'chuan', 'shi']",63,99
一文不值,"['yi', 'wen', 'bu', 'zhi']",126,66
放虎归山,"['fang', 'hu', 'gui', 'shan']",9,12
落叶知秋,"['luo', 'ye', 'zhi', 'qiu']",16,13
杜渐防微,"['du', 'jian', 'fang', 'wei']",15,44
露尾藏头,"['lu', 'wei', 'cang', 'tou']",31,20
临崖勒马,"['lin', 'ya', 'le', 'ma']",3,13
模棱两可,"['mo', 'leng', 'liang', 'ke']",32,11
一板三眼,"['yi', 'ban', 'san', 'yan']",126,55
人浮于食,"['ren', 'fu', 'yu', 'shi']",62,99
晨钟暮鼓,"['chen', 'zhong', 'mu', 'gu']",8,44
结草衔环,"['jie', 'cao', 'xian', 'huan']",52,19
镂骨铭心,"['lou', 'gu', 'ming', 'xin']",2,81
翻天覆地,"['fan', 'tian', 'fu', 'di']",30,15
翦草除根,"['jian', 'cao', 'chu', 'gen']",40,3
反唇相讥,"['fan', 'chun', 'xiang', 'ji']",30,62
剪草除根,"['jian', 'cao', 'chu', 'gen']",40,3
震天动地,"['zhen', 'tian', 'dong', 'di']",25,15
户告人晓,"['hu', 'gao', 'ren', 'xiao']",18,23
反老还童,"['fan', 'lao', 'huan', 'tong']",30,35
入室升堂,"['ru', 'shi', 'sheng', 'tang']",17,10
池鱼之祸,"['chi', 'yu', 'zhi', 'huo']",37,17
无可如何,"['wu', 'ke', 'ru', 'he']",60,13
安土乐业,"['an', 'tu', 'le', 'ye']",13,13
清风两袖,"['qing', 'feng', 'liang', 'xiu']",15,14
众心成城,"['zhong', 'xin', 'cheng', 'cheng']",45,17
束手无措,"['shu', 'shou', 'wu', 'cuo']",31,2
杜渐防萌,"['du', 'jian', 'fang', 'meng']",15,8
依人篱下,"['yi', 'ren', 'li', 'xia']",126,7
明若观火,"['ming', 'ruo', 'guan', 'huo']",29,17
活剥生吞,"['huo', 'bao', 'sheng', 'tun']",32,2
换骨夺胎,"['huan', 'gu', 'duo', 'tai']",14,6
养虎贻患,"['yang', 'hu', 'yi', 'huan']",28,19
螳螂捕蝉，黄雀在后,"['tang', 'lang', 'bu', 'chan', '，', 'huang', 'que', 'zai', 'hou']",3,9
墨守成法,"['mo', 'shou', 'cheng', 'fa']",32,6
吐气扬眉,"['tu', 'qi', 'yang', 'mei']",18,19
缩衣节食,"['suo', 'yi', 'jie', 'shi']",15,99
捉衿肘见,"['zhuo', 'jin', 'zhou', 'jian']",5,29
时雨春风,"['shi', 'yu', 'chun', 'feng']",144,52
摧枯折腐,"['cui', 'ku', 'zhe', 'fu']",6,53
巧偷豪夺,"['qiao', 'tou', 'hao', 'duo']",7,9
暂劳永逸,"['zan', 'lao', 'yong', 'yi']",0,263
靡靡之乐,"['mi', 'mi', 'zhi', 'yue']",12,11
百年偕老,"['bai', 'nian', 'xie', 'lao']",3,25
千闻不如一见,"['qian', 'wen', 'bu', 'ru', 'yi', 'jian']",17,29
掩旗息鼓,"['yan', 'qi', 'xi', 'gu']",41,44
鹤发鸡皮,"['he', 'fa', 'ji', 'pi']",57,23
雷霆之怒,"['lei', 'ting', 'zhi', 'nu']",8,3
东床娇客,"['dong', 'chuang', 'jiao', 'ke']",11,11
窃位素餐,"['qie', 'wei', 'su', 'can']",4,4
累卵之危,"['lei', 'luan', 'zhi', 'wei']",8,44
忘年交,"['wang', 'nian', 'jiao']",12,24
系风捕影,"['xi', 'feng', 'bu', 'ying']",32,28
暗渡陈仓,"['an', 'du', 'chen', 'cang']",13,7
千红万紫,"['qian', 'hong', 'wan', 'zi']",17,35
阿其所好,"['e', 'qi', 'suo', 'hao']",7,17
系风捕影,"['xi', 'feng', 'bu', 'ying']",32,28
纸贵洛阳,"['zhi', 'gui', 'luo', 'yang']",60,20
累牍连篇,"['lei', 'du', 'lian', 'pian']",8,1
如之奈何,"['ru', 'zhi', 'nai', 'he']",17,13
翻覆无常,"['fan', 'fu', 'wu', 'chang']",30,11
为小失大,"['wei', 'xiao', 'shi', 'da']",51,37
瓜李之嫌,"['gua', 'li', 'zhi', 'xian']",4,13
腹心之患,"['fu', 'xin', 'zhi', 'huan']",47,19
纤尘不染,"['xian', 'chen', 'bu', 'ran']",10,3
盗名欺世,"['dao', 'ming', 'qi', 'shi']",41,99
万籁无声,"['wan', 'lai', 'wu', 'sheng']",4,29
投井下石,"['tou', 'jing', 'xia', 'shi']",17,99
钓名沽誉,"['diao', 'ming', 'gu', 'yu']",11,65
排山压卵,"['pai', 'shan', 'ya', 'luan']",0,5
了若指掌,"['liao', 'ruo', 'zhi', 'zhang']",4,5
电掣风驰,"['dian', 'che', 'feng', 'chi']",7,13
溥天同庆,"['pu', 'tian', 'tong', 'qing']",5,42
识途老马,"['shi', 'tu', 'lao', 'ma']",144,13
物盛则衰,"['wu', 'sheng', 'ze', 'shuai']",60,3
情随事迁,"['qing', 'sui', 'shi', 'qian']",15,64
涸泽而渔,"['he', 'ze', 'er', 'yu']",57,65
深思远虑,"['shen', 'si', 'yuan', 'lv']",24,4
初发芙蓉,"['chu', 'fa', 'fu', 'rong']",23,1
四分五落,"['si', 'fen', 'wu', 'luo']",28,12
